"Respondent code","Klas code",Starttijd,Eindtijd,Leeftijd,Geslacht,Opleidingsniveau,"Tijd in klas",Herkomstland,"Herkomstland (ander)","Identificatie met herkomstland",Godsdienst,"Godsdienst (ander)","Eigen vrienden - basis",Vertrouwen,"Vrienden van klasgenoten 1 ID","Vrienden van klasgenoten 1 waarde","Vrienden van klasgenoten 2 ID","Vrienden van klasgenoten 2 waarde","Vrienden van klasgenoten 3 ID","Vrienden van klasgenoten 3 waarde","Vrienden van klasgenoten 4 ID","Vrienden van klasgenoten 4 waarde","Vrienden van klasgenoten 5 ID","Vrienden van klasgenoten 5 waarde","Vrienden van klasgenoten 6 ID","Vrienden van klasgenoten 6 waarde","Vrienden van klasgenoten 7 ID","Vrienden van klasgenoten 7 waarde","Vrienden van klasgenoten 8 ID","Vrienden van klasgenoten 8 waarde","Vrienden van klasgenoten 9 ID","Vrienden van klasgenoten 9 waarde","Vrienden van klasgenoten 10 ID","Vrienden van klasgenoten 10 waarde","Vrienden van klasgenoten 11 ID","Vrienden van klasgenoten 11 waarde","Eigen etniciteit","Etniciteit klasgenoten 1 ID","Etniciteit klasgenoten 1 waarde","Etniciteit klasgenoten 2 ID","Etniciteit klasgenoten 2 waarde","Etniciteit klasgenoten 3 ID","Etniciteit klasgenoten 3 waarde","Etniciteit klasgenoten 4 ID","Etniciteit klasgenoten 4 waarde","Etniciteit klasgenoten 5 ID","Etniciteit klasgenoten 5 waarde","Etniciteit klasgenoten 6 ID","Etniciteit klasgenoten 6 waarde","Etniciteit klasgenoten 7 ID","Etniciteit klasgenoten 7 waarde","Etniciteit klasgenoten 8 ID","Etniciteit klasgenoten 8 waarde","Etniciteit klasgenoten 9 ID","Etniciteit klasgenoten 9 waarde","Etniciteit klasgenoten 10 ID","Etniciteit klasgenoten 10 waarde","Etniciteit klasgenoten 11 ID","Etniciteit klasgenoten 11 waarde","Etniciteit klasgenoten 12 ID","Etniciteit klasgenoten 12 waarde","Goed kennen 1 ID","Goed kennen 1 waarde","Goed kennen 2 ID","Goed kennen 2 waarde","Goed kennen 3 ID","Goed kennen 3 waarde","Goed kennen 4 ID","Goed kennen 4 waarde","Goed kennen 5 ID","Goed kennen 5 waarde","Goed kennen 6 ID","Goed kennen 6 waarde","Goed kennen 7 ID","Goed kennen 7 waarde","Goed kennen 8 ID","Goed kennen 8 waarde","Goed kennen 9 ID","Goed kennen 9 waarde","Goed kennen 10 ID","Goed kennen 10 waarde","Goed kennen 11 ID","Goed kennen 11 waarde","Goed kennen 12 ID","Goed kennen 12 waarde","Immigratie houding – eigen","Immigratie houding - vrienden 1 ID","Immigratie houding - vrienden 1 waarde","Immigratie houding - vrienden 2 ID","Immigratie houding - vrienden 2 waarde","Immigratie houding - vrienden 3 ID","Immigratie houding - vrienden 3 waarde","Immigratie houding – willekeurige klasgenoten 1 ID","Immigratie houding – willekeurige klasgenoten 1 waarde","Immigratie houding – willekeurige klasgenoten 2 ID ID","Immigratie houding – willekeurige klasgenoten 2 ID waarde","Immigratie houding – willekeurige klasgenoten 3 ID ID","Immigratie houding – willekeurige klasgenoten 3 ID waarde","Band 1 IDs","Band 1 waarde","Band 2 IDs","Band 2 waarde","Band 3 IDs","Band 3 waarde","Band 4 IDs","Band 4 waarde","Band 5 IDs","Band 5 waarde","Band 6 IDs","Band 6 waarde","Band 7 IDs","Band 7 waarde","Band 8 IDs","Band 8 waarde","Band 9 IDs","Band 9 waarde","Band 10 IDs","Band 10 waarde","Band 11 IDs","Band 11 waarde","Band 12 IDs","Band 12 waarde","Band 13 IDs","Band 13 waarde","Band 14 IDs","Band 14 waarde","Band 15 IDs","Band 15 waarde","Band 16 IDs","Band 16 waarde","Band 17 IDs","Band 17 waarde","Band 18 IDs","Band 18 waarde","Band 19 IDs","Band 19 waarde","Band 20 IDs","Band 20 waarde","Band 21 IDs","Band 21 waarde","Band 22 IDs","Band 22 waarde","Culturele interesse","Polarisatie in klas","polarisatie in maatschappij","Polarisatie in klas 2",Leuk,Meedoen,Interessant,Moeilijk,Einde
22,u5,12:30,01:23,26,1,2,4,4,,4,6,Dwightgeloof,"25, 24, 3","14, 4",11,"13, 14",12,2,26,"3, 14",25,"5, 13",24,"2, 3, 4",13,"4, 2",5,"14, 1, 2",14,1,3,4,2,1,1,,"3, 1",11,"4, China",12,5,26,"1, 2",25,4,24,"1, 2",13,3,5,5,14,"1, 2",3,"1, 4",2,"3, 4",1,"1, 5",4,2,3,2,3,5,12,3,5,5,2,1,24,3,13,4,14,3,11,5,26,1,1,3,25,5,3,25,1,3,2,24,4,4,4,2,5,1,2,"22, 25",3,"13, 4",2,"25, 5",4,"26, 3",5,"14, 1",2,"11, 13",3,"5, 14",4,"13, 2",2,"22, 3",4,"25, 5",5,"5, 1",2,"2, 1",3,"12, 2",4,"5, 2",1,"25, 13",5,"24, 4",3,"13, 4",4,"24, 2",1,"22, 25",2,"11, 14",3,"22, 24",5,,,5,6,5,2,3,4,5,3,"Vond de vragenlijst leuk om in te vullen. "
4,u5,01:18,01:48,39,2,3,3,6,Duitsland,4,5,,"1, 14, 26",5,11,"2, 14",22,"26, 13, 24",12,"3, 13",26,"2, 14, 5, 1",25,1,24,"5, 2",13,2,5,14,14,"1, 2",3,,2,1,"1, Japan",11,3,22,Griekenland,12,"4, 1",26,"2, 3",25,"1, 4",24,5,13,Portugal,5,2,14,"4, 2",3,3,2,4,1,2,22,2,22,5,12,3,25,3,2,4,3,1,13,5,24,4,5,2,11,5,26,2,14,4,2,14,4,26,3,1,5,5,5,2,3,3,4,"4, 1",5,"26, 14",4,"26, 2",5,"4, 1",3,"26, 5",4,"22, 24",5,"11, 2",1,"25, 1",3,"26, 1",1,"4, 26",4,"12, 3",5,"22, 26",3,"12, 13",4,"14, 2",2,"22, 13",3,"2, 1",4,"5, 14",5,"14, 1",2,"4, 14",1,"11, 14",4,"24, 5",4,"24, 2",2,7,6,3,6,1,3,4,5,"Is goed verlopen. Misschien wat meer vragen over techniek."
